Ask,AVolume,Bid,BVolume,Exchange,Ticker,TimeStamp,Spread
0.082369,803.33,0.082286,803.33,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,8.30E-05
0.08237,1115.17,0.082285,5500,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,8.50E-05
0.082386,356.86,0.082269,1519.87,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000117
0.082417,6219.54,0.082237,6200,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.00018
0.082431,43.96,0.082183,6176.21,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000248
0.082442,1844.16,0.082167,1266.25,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000275
0.082443,1906.8,0.082166,30542.56,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000277
0.082445,80.2,0.082151,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000294
0.082452,1000,0.082148,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000304
0.082453,586474.47,0.082147,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000306
0.082456,12.47,0.082146,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.00031
0.082459,30.2,0.082144,2995.99,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000315
0.082468,403746.1,0.082142,9970.8,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000326
0.082473,2000,0.082141,1316.48,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000332
0.082474,204785.94,0.082136,1436.37,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000338
0.082484,22125.23,0.082133,6001.47,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000351
0.0825,5982.25,0.082126,1569.14,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000374
0.082513,6066.74,0.082124,4876.35,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000389
0.082525,5472.72,0.082119,30429,Gate.io,DOGE/USDT,2022-11-09T11:11:37.480Z,0.000406
0.082605,3000.0033,0.082484,22241.2369,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000121
0.082607,3000.0023,0.082459,27642.3433,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000148
0.082609,3000.0015,0.082385,3000.0036,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000224
0.082611,3000.0049,0.082383,3000.0031,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000228
0.082613,3000.0009,0.082381,3000.0019,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000232
0.082615,7117.6657,0.082379,3000.0031,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000236
0.08262,7420.05,0.082377,3000.0033,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000243
0.082625,3491.928,0.082375,6248.9326,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.00025
0.08263,99000,0.082365,19286.0995,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000265
0.082635,3000.0009,0.082363,3000.0009,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000272
0.082637,3000.0035,0.082362,3000.005,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000275
0.082645,3000.0035,0.082355,28982.8127,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.00029
0.082648,3000.0011,0.082349,3000.0029,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000299
0.082651,3312.54,0.082346,21153.8448,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000305
0.082653,3000.0043,0.082345,5149.1092,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000308
0.082655,4464.2336,0.082335,7499.6545,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.00032
0.082665,3000,0.082331,3000.0001,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000334
0.082666,3000.0025,0.08233,4455,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000336
0.082667,3166.8912,0.082325,38627.291,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000342
0.082668,4455,0.082324,16787.6874,Bitget,DOGE/USDT,2022-11-09T11:11:51.021Z,0.000344
0.082379,777,0.082333,471,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,4.60E-05
0.082385,1169,0.082308,780,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,7.70E-05
0.082389,1374,0.082277,1670,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000112
0.082395,1371,0.082224,140012,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000171
0.082397,727,0.082163,65173,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000234
0.082405,769,0.082094,144962,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000311
0.082412,964,0.082039,149352,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000373
0.082447,1080,0.081994,91517,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000453
0.082457,1346,0.081944,70734,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000513
0.08248,876,0.081899,158548,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000581
0.082487,124137,0.081842,158234,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000645
0.082541,155726,0.081802,2443,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000739
0.082583,39095,0.081801,45891,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000782
0.082611,55903,0.081789,99721,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000822
0.082652,108776,0.081734,147574,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000918
0.082659,40518,0.081723,130893,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.000936
0.082704,59001,0.081682,47456,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.001022
0.082719,44582,0.081659,110814,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.00106
0.08276,153159,0.081614,41532,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.001146
0.082801,169221,0.081578,88844,BitMart,DOGE/USDT,2022-11-09T11:12:02.611Z,0.001223
0.082262,5500,0.082241,44.03,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,2.10E-05
0.082265,85.86,0.082214,200,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,5.10E-05
0.082283,1316.48,0.082209,2323.2,Gate.io,DOGE/USDT,2022-11-09T11:12:11.708Z,7.40E-05
